docking_score,smile
-8.1,COc1ccc([C@H](C)NC(=O)CSCc2cccc(Br)c2)cc1
-7.1,N[C@H]1CC[C@](C(=O)O)(c2ccccc2)C1
-8.7,CCOC(=O)C1=C(C)N=c2s/c(=C\c3cccc(O)c3)/c(=O)n2[C@@H]1c1ccccc1Cl
-6.0,COC(=O)C[C@@H](O)[C@H]1CCOC(C)(C)C1
-9.8,CC(C)NC[C@@H](O)Cn1c2ccccc2c2c1-c1cnn(c3ccccc3)c1CC2
-8.5,COc1ccc(S(=O)(=O)N2CCC(C(=O)NC[C@H]3CCCO3)CC2)cc1
-9.7,CCOc1ccccc1NC(=O)Cn1cnc2scc(c3ccccc3)c2c1=O
-10.9,COc1ccc(CNC(=O)c2cc3n(n2)[C@H](C(F)(F)F)C[C@@H](c2ccc4c(c2)OCO4)N3)cc1
-8.7,COc1ccc(OC)c(C(=O)C[C@@]2(O)C(=O)Nc3ccc(Cl)cc32)c1
-9.4,O=C(O)[C@H]1CC=CC[C@H]1C(=O)Nc1ccc(C(=O)Nc2ccccn2)cc1
-9.4,COc1ccc(Cl)cc1C(=O)Nc1nc2c(s1)C(=O)CC(C)(C)C2
-9.8,O=C(/C=C/c1ccccc1)Nc1nnc(-c2cccnc2)s1
-8.8,O=C(COc1ccc(F)cc1)N1CCc2ccccc2C1
-10.5,O=[N+]([O-])c1ccc2c(c1)[C@H](O)n1nc(c3ccc(Cl)cc3Cl)nc1S2
-9.7,COc1cccc(N2C(=O)C[C@@H](SCC(=O)Nc3ccc(Cl)cc3)C2=O)c1
-7.9,C[C@@H]1CCCCN1CC(=O)Nc1ccc(F)cc1
-9.6,O=C(Nc1ccc(N2CCN(C(=O)c3ccco3)CC2)cc1)c1ccc(Cl)cc1
-10.5,COc1ccccc1NC(=O)c1cc2c(n(c3ccc(C)cc3)c1=O)CC(C)(C)CC2=O
-8.7,COc1ccc(OC)c(NC(=O)[C@H]2CC(=O)N(c3ccc(Cl)cc3)C2)c1
-9.3,CCOc1cccc([C@@H]2Nc3c(C)cccc3-c3cc(C)nn23)c1O
-11.2,O=c1c2ccc(N3CCOCC3)c3cccc(c4nc5ccccc5n41)c32
-8.7,COc1ccc(N([C@@H](C)C(=O)Nc2cccc(Br)c2)S(=O)(=O)C)cc1
-9.6,COc1ccc(NC(=O)CN(c2ccccc2C)S(=O)(=O)c2ccc(C)cc2)cc1
-9.1,CC1(C)c2ccccc2N(CCO)[C@@]12C=Cc1cc([N+](=O)[O-])ccc1O2
-11.0,CC(=O)c1ccc(NS(=O)(=O)c2cccc(C(=O)Nc3ccccc3C)c2)cc1
-8.3,COc1ccc(NC(=O)CN(c2ccc(Cl)cc2C)S(C)(=O)=O)cc1
-8.9,O=C(CN(c1ccc(Cl)cc1)S(=O)(=O)c1ccccc1)N1CCOCC1
-8.7,CC(=O)c1ccc(NC(=O)CN(c2c(C)cccc2C)S(C)(=O)=O)cc1
-9.2,O=C(Nc1ccc(Cl)c(Cl)c1)c1cc2ccc(O)cc2oc1=O
-10.0,O=C(Nc1ccccc1)[C@H](Cc1ccccc1)N1C(=O)c2ccccc2C1=O
-9.5,COC(=O)c1cc2nc(c3ccc(Cl)cc3)cc(C(F)(F)F)n2n1
-8.1,COC(=O)CN(c1nc(C)cc(OC)n1)S(=O)(=O)c1ccc(C)cc1
-9.8,CCc1ccccc1NC(=O)CSc1nnc(c2cccc(C)c2)o1
-9.4,CS(=O)(=O)N(Cc1ccccc1)c1ccccc1C(=O)NCc1cccnc1
-10.4,Cc1ccc([C@@H](NC(=O)Cc2ccccc2)c2ccc3cccnc3c2O)cc1
-8.7,Cc1cc(C)cc(NC(=O)[C@H]2C[C@H](O)CN2C(=O)Oc2ccccc2)c1
-8.7,Cc1cc(I)ccc1NC(=O)[C@@H]1CCCN1C(=O)c1cccs1
-9.0,CCOC(=O)c1c(C)c(C(=O)Nc2ccccc2F)sc1NC(=O)COc1ccccc1
-9.9,O=C(NCc1cccnc1)c1cc2n(n1)[C@H](C(F)(F)F)C[C@@H](c1ccccc1)N2
-10.1,Cc1ccc(N(Cc2ccc(C(=O)N3CCCCCC3)cc2)S(=O)(=O)C)cc1C
-9.6,COc1cc2cc(C)c3nnc(SCC(=O)Nc4ccc(N(C)C)cc4)n3c2cc1OC
-9.6,CCCn1c2ccccc2c2nnc(SCC(=O)N[C@@H](C)c3ccccc3)nc12
-10.6,O=C(Cn1nnc(c2ccc([N+](=O)[O-])cc2)n1)Nc1ccccc1c1ccccc1
-8.0,Cc1ccc(N(CC(=O)NC[C@H]2CCCO2)S(C)(=O)=O)cc1Cl
-9.2,Cc1cc2cc(CN(CCN(C)C)C(=S)Nc3cccc(Cl)c3)c(=O)[nH]c2cc1C
-8.3,COc1cc(C(=O)NC(=S)Nc2ncccc2C)cc(OC)c1OC
-10.0,CC(=O)Nc1ccc(N(CC(=O)NC2CCCCC2)C(=O)Cn2nnc(c3ccccc3)n2)cc1
-10.1,CCc1ccc2[nH]c(=O)c(CN(CCO)C(=S)Nc3cccc(C)c3)cc2c1
-10.2,Cc1cc(NC(=O)CSc2nnc3c(C)cc4cc5c(cc4n23)OCO5)no1
-9.1,COc1ccc([C@H]2CC(c3ccc(OC)c(OC)c3)=NN2C(C)=O)cc1
-9.2,CC[C@@H](C)NC(=O)CSc1nc(c2ccc(F)cc2)cc(C(F)(F)F)n1
-9.5,COc1ccc2[nH]c(=O)c([C@H](c3nnnn3Cc3ccccc3)N3CCCC3)cc2c1
-8.6,CCn1c(SCC(=O)Nc2nc(C)c(C)s2)nnc1c1cccc(C)c1
-9.4,CC[C@H](C(=O)NC1CCCC1)N(C(=O)Cn1nnc(c2ccc(C)cc2)n1)c1ccccc1
-10.7,O=C(Cn1nnc2ccccc12)N(Cc1ccc(F)cc1)[C@H](C(=O)NC1CCCCC1)c1ccco1
-9.5,CCOc1cc(/C=c/2\sc3nc(c4ccc(OC)cc4)nn3c2=O)ccc1OC(=O)C
-8.2,COc1cc([C@@H]2NC(=O)NC(C)=C2C(=O)OC[C@H]2CCCO2)ccc1O
-10.8,Cc1ccc2cc(CN(Cc3ccco3)S(=O)(=O)c3cccc4nsnc34)c(=O)[nH]c2c1C
-9.8,COc1ccc2cc(CN(Cc3cccs3)S(=O)(=O)c3ccccc3F)c(=O)[nH]c2c1
-8.5,O=C(Nc1ccc(Cl)cc1Cl)c1nc2ncccn2n1
-10.6,Cc1cc(C)c(NC(=O)CSc2nnc3c4c5c(sc4ncn23)CCCC5)c(C)c1
-10.5,CCC(C)(C)n1nnnc1CN(Cc1cccnc1)Cc1cc2cc(C)cc(C)c2[nH]c1=O
-11.6,Cc1cc(C)c2cc(CN(Cc3nnnn3Cc3ccccc3)Cc3ccc(F)cc3)c(=O)[nH]c2c1
-10.5,Cc1cccc2cc(C)c(SCC(=O)Nc3ccc(S(=O)(=O)N4CCOCC4)cc3)nc12
-10.3,COc1cc(S(=O)(=O)N(Cc2ccco2)Cc2ccccc2Cl)ccc1n1cnnn1
-8.3,COc1ccc(Br)cc1[C@H]1C(=C(C)Nc2nnnn12)C(=O)OC(C)C
-9.2,COc1ccc(C(=O)O[C@H](C)C(=O)Nc2ccc(Oc3ccccc3)cc2)cc1OC
-9.3,O=C(O)c1ccccc1NC1=C(Cl)C(=O)N(c2ccc(Br)cc2)C1=O
-9.3,O=C(COc1ccccc1[N+](=O)[O-])Nc1ccc(C(=O)Oc2ccccc2)c(O)c1
-10.4,Cc1ccc(NC(=O)c2ccc(N3C(=O)c4ccccc4C3=O)cc2)c(Br)c1
-10.1,CCOC(=O)c1c(c2ccccc2)csc1NC(=O)[C@H](C(C)C)N1C(=O)c2ccccc2C1=O
-9.7,O=C(C1CCN(S(=O)(=O)c2ccc(Cl)cc2)CC1)N1CCC[C@H](C(F)(F)F)C1
-7.9,CC(C)C(=O)N[C@@H](Nc1ccc(S(N)(=O)=O)cc1)C(Cl)(Cl)Cl
-9.5,COc1ccc(NC(=O)CN(c2ccccc2C)S(=O)(=O)c2ccc(C)cc2)c(OC)c1
-9.5,CCOC(=O)CN1C(=O)S/C(=C\c2cc(C)n(c3ccc4c(c3)OCO4)c2C)/C1=O
-8.9,CCOc1cc(/C=C\2/NC(=O)N(Cc3ccccc3)C2=O)cc(I)c1O
-8.5,COC(=O)COc1c(Cl)cc(/C=C\2/NC(=O)N(c3ccccc3)C2=O)cc1OC
-7.8,CCOC(=O)[C@@H](C)N1C(=O)S/C(=C\c2ccccc2OC(C)C)C1=O
-8.5,Clc1cc(Cl)cc(Nc2cccc3nonc23)c1
-9.6,COc1cc([C@H]2Nc3ccccc3C(=O)N2c2ccc(C)cc2)ccc1O
-9.4,O=C(COC(=O)c1cccc(NC(=O)c2ccco2)c1)c1ccc(Br)cc1
-9.8,Cc1ccccc1NC(=O)c1cc(S(=O)(=O)N2CCCCCC2)ccc1Cl
-10.1,Cc1ccc(C)c(N2C[C@H](C(=O)OCC(=O)c3ccc(Cl)cc3)CC2=O)c1
-9.3,COc1cc(/C=C2\C(C)=NN(c3ccc(C)cc3)C2=O)ccc1OCC(N)=O
-10.4,Cc1nn(C)c(C)c1CN(C)C(=O)c1cc2n(n1)[C@H](C(F)(F)F)C[C@H](c1ccc(C)cc1)N2
-8.0,CCOC(=O)C1=C(C)N=C2SCC(=O)N2[C@H]1c1cccc(Br)c1
-6.0,CC1=NN(C(N)=S)[C@@](O)(C(F)(F)F)C1
-7.7,CCOC(=O)c1ccccc1NC(=O)c1c(OC)cccc1OC
