docking_score,smile
-5.9,C[C@H](Oc1ccccc1)C(=O)Nc1ccccc1
-5.0,CCC[C@@H](C)C(=O)Nc1cc(C)ccn1
-6.0,CCOC(=O)c1ccc(NC(=O)[C@@H](C)Oc2ccccc2)cc1
-5.7,CC[C@H](C(=O)N1CCCC1)c1ccccc1
-5.7,C[C@@H](Oc1ccccc1)C(=O)Nc1ccc(F)cc1
-6.0,COc1ccc(Cl)cc1NC(=O)[C@@H](C)Oc1ccccc1
-5.2,COc1ccc(CNC(=O)Cc2cccs2)cc1
-5.9,CC[C@@H](C(=O)N1CCc2ccccc12)c1ccccc1
-5.6,CC[C@@H](C)C(=O)NCc1ccc(C)cc1
-5.9,CCC[C@H](C)C(=O)NCc1ccc(C)cc1
-5.5,C[C@@H]1CN(C(=O)Cc2ccc(Cl)cc2)C[C@@H](C)O1
-5.8,CC[C@H](C(=O)Nc1ccc(C(=O)OC)cc1)c1ccccc1
-5.8,CC[C@H](C(=O)NCc1ccncc1)c1ccccc1
-5.6,COc1ccccc1N1CCN(C(=O)Cc2cccs2)CC1
-4.8,CC(C)(C)CC(=O)Nc1ccc(Br)cc1F
-5.1,Cc1ccccc1NC(=O)CC(C)(C)C
-5.3,COC(=O)c1ccc(NC(=O)c2ccc(SC)cc2OC)cc1
-5.7,COC[C@H](C)NS(=O)(=O)c1c(C)cc(C)cc1C
-5.5,CCOC(=O)[C@H]1CCCN(C(=O)c2ccc(F)cc2)C1
-5.9,CCOC(=O)[C@H]1CCCN(C(=O)c2cccc(Br)c2)C1
-4.7,COC[C@@H](C)NC(=O)c1ccc(Cl)c(Cl)c1
-6.4,COc1ccc(C(=O)N2Cc3ccccc3NC2=S)cc1OC
-5.9,c1ccc(OCc2nc3ccccc3[nH]2)cc1
-6.0,CC(=O)N/C(=C/c1ccccc1)C(=O)NCc1ccco1
-5.3,O=[N+]([O-])c1ccc([C@H]2OCOC[C@H]2O)cc1
-5.5,O=C(c1ccc(Br)o1)N1CCN(c2ccccc2)CC1
-5.2,CCOC(=O)C1=C(C)NC(=O)C[C@@H]1c1ccc(Cl)cc1Cl
-5.5,CC(C)(C)c1ccc(C(=O)C[C@@H](C(=O)O)N2CCCCC2)cc1
-5.4,O=C(CSc1ncccn1)Nc1cccc(Cl)c1
-6.3,O=C(CSc1nnnn1-c1ccccc1)Nc1cccc(Cl)c1
-6.3,O=C(Oc1ccc(C2SCCS2)cc1)c1ccc([N+](=O)[O-])cc1
-5.4,O=C1CCC(=O)N1c1ccc(Cl)c(Cl)c1
-5.1,CCOc1ccc(NC(=O)CCC(=O)O)cc1
-6.3,Cc1cc(C)cc(NC(=O)CSc2nc(C)cc(C)n2)c1
-5.6,O=C(CSc1ccc(F)cc1)Nc1ccc(Cl)c(Cl)c1
-5.9,COc1cccc(C(=O)Nc2ccc(N(C)C(C)=O)cc2)c1
-5.0,CCC(CC)NC(=O)c1cccc(OC)c1
-6.5,Cc1cc(C)nc(NC(=O)Cc2ccc(Cl)cc2)n1
-5.6,CCC[C@H](C)C(=O)Nc1cccc(C(=O)OCC)c1
-6.3,O=C(O)[C@H]1CS[C@H](c2ccc(OCc3cccc(F)c3)cc2)N1
-5.7,CN(C)CCCN1C(=O)CS[C@@H]1c1cccc([N+](=O)[O-])c1
-6.3,O=C(NCCc1nc2ccccc2[nH]1)[C@H]1COc2ccccc2O1
-7.0,O=C(O)c1ccc(NC(=S)Nc2ccccc2)cc1O
-6.2,Cn1c(=O)c2cc(NC(=O)c3cccs3)c(=O)oc2n(C)c1=O
-5.7,O=C(O)CCc1ccc(c2cccs2)n1c1cccc(O)c1
-6.2,C[C@@H](c1ccccc1)[C@H](CC(=O)Nc1ccc(F)cc1)C(=O)O
-6.7,O=c1oc2ccccc2cc1C1=NO[C@@H](c2ccc3c(c2)OCO3)C1
-5.7,O=S(=O)(Nc1ccccc1Br)c1ccccc1
-5.4,COC(=O)C1=C(C)N(Cc2ccco2)C(=O)C1
-4.8,Nc1ccc(I)cc1C(=O)O
-6.4,COC(=O)c1ccc(N2C(=O)[C@@H](C)S[C@H]2c2ccccc2)cc1
-6.6,Cc1ccc(-n2c(SCC(N)=O)nc3ccccc3c2=O)cc1
-6.5,NNc1nn2c(nnc2C(F)(F)F)c2ccccc21
